query_index,latency_s
1,0.12722539901733398
2,0.021227598190307617
3,0.016062259674072266
4,0.00930166244506836
5,0.009063959121704102
6,0.01279306411743164
7,0.009049177169799805
8,0.01384878158569336
9,0.015437602996826172
10,0.011084318161010742
11,0.013166189193725586
12,0.014450311660766602
13,0.0163421630859375
14,0.012761831283569336
15,0.013524532318115234
16,0.017185211181640625
17,0.011256694793701172
18,0.015356779098510742
19,0.00822901725769043
20,0.011968612670898438
21,0.013219833374023438
22,0.011284112930297852
23,0.010446786880493164
24,0.012995481491088867
25,0.012291908264160156
26,0.013519763946533203
27,0.01213693618774414
28,0.012088537216186523
29,0.010851383209228516
30,0.013967514038085938
31,0.016498565673828125
32,0.014742374420166016
33,0.007729291915893555
34,0.014863729476928711
35,0.012776613235473633
36,0.01280832290649414
37,0.00940561294555664
38,0.010967731475830078
39,0.027513742446899414
40,0.013607025146484375
41,0.00885009765625
42,0.01118612289428711
43,0.01190948486328125
44,0.014959335327148438
45,0.013237476348876953
46,0.011686086654663086
47,0.017957448959350586
48,0.014641761779785156
49,0.02540731430053711
50,0.016590356826782227
51,0.01319265365600586
52,0.007829904556274414
53,0.017322301864624023
54,0.011202812194824219
55,0.011674880981445312
56,0.015650272369384766
57,0.00835418701171875
58,0.011632919311523438
59,0.01363229751586914
60,0.011757373809814453
61,0.011617898941040039
62,0.014834880828857422
63,0.010618925094604492
64,0.013210773468017578
65,0.011331558227539062
66,0.011257648468017578
67,0.011432170867919922
68,0.015872716903686523
69,0.018367290496826172
70,0.011753320693969727
71,0.012282609939575195
72,0.01880025863647461
73,0.011618852615356445
74,0.012725830078125
75,0.009760618209838867
76,0.010281801223754883
77,0.012746572494506836
78,0.007810831069946289
79,0.012943744659423828
80,0.01069951057434082
81,0.020923852920532227
82,0.013249874114990234
83,0.013776302337646484
84,0.011422872543334961
85,0.01482701301574707
86,0.012167692184448242
87,0.009416341781616211
88,0.012166738510131836
89,0.01070857048034668
90,0.012731313705444336
91,0.011318683624267578
92,0.010450363159179688
93,0.012315511703491211
94,0.015299081802368164
95,0.015294790267944336
96,0.012735366821289062
97,0.007639646530151367
98,0.012730121612548828
99,0.0078105926513671875
100,0.012096643447875977
101,0.013136863708496094
102,0.008695125579833984
103,0.009807825088500977
104,0.00872802734375
105,0.008594274520874023
106,0.008346319198608398
107,0.008844852447509766
108,0.010638236999511719
109,0.008771896362304688
110,0.011244773864746094
111,0.012227773666381836
112,0.010176897048950195
113,0.012253522872924805
114,0.01247859001159668
115,0.013120889663696289
116,0.008199453353881836
117,0.012125730514526367
118,0.0076067447662353516
119,0.011957406997680664
120,0.00811624526977539
121,0.0067119598388671875
122,0.010143756866455078
123,0.008189678192138672
124,0.01050567626953125
125,0.007627248764038086
126,0.010910272598266602
127,0.011970281600952148
128,0.012539148330688477
129,0.013161659240722656
130,0.007123708724975586
131,0.011697769165039062
132,0.04410219192504883
133,0.0470728874206543
134,0.010005474090576172
135,0.021379947662353516
136,0.011682271957397461
137,0.01860189437866211
138,0.02305912971496582
139,0.01988673210144043
140,0.019875288009643555
141,0.017876863479614258
142,0.029743671417236328
143,0.008568525314331055
144,0.0077326297760009766
145,0.018515348434448242
146,0.009502649307250977
147,0.018692493438720703
148,0.011165857315063477
149,0.03362441062927246
150,0.02230358123779297
151,0.027561426162719727
152,0.008438825607299805
153,0.017818450927734375
154,0.020277976989746094
155,0.0178070068359375
156,0.014878988265991211
157,0.01650094985961914
158,0.008023977279663086
159,0.020205020904541016
160,0.0261991024017334
161,0.024692535400390625
162,0.013496637344360352
163,0.020045042037963867
164,0.007585287094116211
165,0.018361806869506836
166,0.009673595428466797
167,0.01778388023376465
168,0.012279510498046875
169,0.011218070983886719
170,0.010971546173095703
171,0.011143207550048828
172,0.011556863784790039
173,0.014147520065307617
174,0.020107746124267578
175,0.014437198638916016
176,0.011166810989379883
177,0.012918472290039062
178,0.015084981918334961
179,0.01546025276184082
180,0.008575439453125
181,0.010793924331665039
182,0.007246971130371094
183,0.011558294296264648
184,0.013081550598144531
185,0.025097131729125977
186,0.015423297882080078
187,0.007622718811035156
188,0.01354074478149414
189,0.007710695266723633
190,0.012540102005004883
191,0.011755228042602539
192,0.012000322341918945
193,0.00818324089050293
194,0.020404338836669922
195,0.012824058532714844
196,0.009325027465820312
197,0.012890338897705078
198,0.011170148849487305
199,0.013373136520385742
200,0.010334968566894531
201,0.010077953338623047
202,0.012517213821411133
203,0.008130788803100586
204,0.010152101516723633
205,0.018731117248535156
206,0.010151386260986328
207,0.01111745834350586
208,0.011657953262329102
209,0.008005619049072266
210,0.011797666549682617
211,0.015371084213256836
212,0.01345062255859375
213,0.010343790054321289
214,0.013298749923706055
215,0.009551525115966797
216,0.008238077163696289
217,0.008107900619506836
218,0.009047508239746094
219,0.14747166633605957
220,0.009450674057006836
221,0.007814884185791016
222,0.012443065643310547
223,0.007214069366455078
224,0.011434793472290039
225,0.010688543319702148
226,0.013739347457885742
227,0.009685754776000977
228,0.011453866958618164
229,0.008626699447631836
230,0.00921773910522461
231,0.007693767547607422
232,0.011640787124633789
233,0.009032011032104492
234,0.011539459228515625
235,0.007877111434936523
236,0.011573314666748047
237,0.007622718811035156
238,0.010772466659545898
239,0.012764453887939453
240,0.007256031036376953
241,0.010431051254272461
242,0.009236335754394531
243,0.010936260223388672
244,0.011538028717041016
245,0.011753559112548828
246,0.011500120162963867
247,0.008424520492553711
248,0.00766301155090332
249,0.01007699966430664
250,0.00900721549987793
251,0.01115274429321289
252,0.008680343627929688
253,0.011451959609985352
254,0.010976076126098633
255,0.014102697372436523
256,0.010125160217285156
257,0.010376930236816406
258,0.011670827865600586
259,0.007637739181518555
260,0.008211851119995117
261,0.009889364242553711
262,0.010708808898925781
263,0.008629798889160156
264,0.016170024871826172
265,0.011626482009887695
266,0.011171340942382812
267,0.011419057846069336
268,0.008871793746948242
269,0.007899761199951172
270,0.014823675155639648
271,0.01701641082763672
272,0.00834512710571289
273,0.01117396354675293
274,0.024688720703125
275,0.013340234756469727
276,0.01390385627746582
277,0.012846708297729492
278,0.014049291610717773
279,0.010839223861694336
